director,title,star,writer
Trevor Nunn,Lady Jane,Helena Bonham Carter,Chris Bryant
Thomas Michael Donnelly,Quicksilver,Kevin Bacon,Thomas Michael Donnelly
Mike Joens,My Little Pony: The Movie,Danny DeVito,George Arthur Bloom
Ken Russell,Gothic,Gabriel Byrne,Lord Byron
Hal Ashby,8 Million Ways to Die,Jeff Bridges,Lawrence Block
Richard Pearce,No Mercy,Richard Gere,James Carabatsos
Gene Wilder,Haunted Honeymoon,Gene Wilder,Gene Wilder
Ted Nicolaou,TerrorVision,Diane Franklin,Ted Nicolaou
Gary Nelson,Allan Quatermain and the Lost City of Gold,Richard Chamberlain,H. Rider Haggard
Neil Jordan,Mona Lisa,Bob Hoskins,Neil Jordan
Garry Marshall,Nothing in Common,Tom Hanks,Rick Podell
J. Lee Thompson,Firewalker,Chuck Norris,Robert Gosnell
Nicolas Roeg,Castaway,Oliver Reed,Lucy Irvine
Richard Wenk,Vamp,Chris Makepeace,Donald P. Borchers
Derek Jarman,Caravaggio,Noam Almaz,Derek Jarman
Leos Carax,Mauvais Sang,Michel Piccoli,Leos Carax
Duncan Gibbins,Fire with Fire,Craig Sheffer,Bill Phillips
Harold Ramis,Club Paradise,Robin Williams,Harry Shearer
Ivan Reitman,Legal Eagles,Robert Redford,Ivan Reitman
Christopher Morahan,Clockwise,John Cleese,Michael Frayn
Robert M. Young,Extremities,Farrah Fawcett,William Mastrosimone
Brian De Palma,Wise Guys,Danny DeVito,George Gallo
Peter Medak,The Men's Club,David Dukes,Leonard Michaels
Claude Berri,Jean de Florette,Yves Montand,Claude Berri
Tom DeSimone,Reform School Girls,Linda Carol,Jack Cummins
Claude Berri,Manon of the Spring,Yves Montand,Claude Berri
Jim Goddard,Shanghai Surprise,Sean Penn,John Kohn
Sidney Lumet,Power,Richard Gere,David Himmelstein
Jerry Kramer,Modern Girls,Daphne Zuniga,Laurie Craig
Bruce Beresford,Crimes of the Heart,Diane Keaton,Beth Henley
John McTiernan,Nomads,Lesley-Anne Down,John McTiernan
Peter Manoogian,Eliminators,Andrew Prine,Paul De Meo
George Mendeluk,Meatballs III: Summer Job,Sally Kellerman,Janis Allen
J. Lee Thompson,Murphy's Law,Charles Bronson,Gail Morgan Hickman
David Byrne,True Stories,David Byrne,Stephen Tobolowsky
Prince,Under the Cherry Moon,Prince,Becky Johnston
MoshÈ Mizrahi,Every Time We Say Goodbye,Tom Hanks,MoshÈ Mizrahi
Julien Temple,Absolute Beginners,Patsy Kensit,Colin MacInnes
Bertrand Tavernier,'Round Midnight,Dexter Gordon,David Rayfiel
Sam Firstenberg,Avenging Force,Michael Dudikoff,James Booth
Paul Lynch,Bullies,Jonathan Crombie,John Sheppard
John Hough,Biggles: Adventures in Time,Neil Dickson,W.E. Johns
Albert Magnoli,American Anthem,Mitchell Gaylord,Evan Archerd
Richard Tuggle,Out of Bounds,Anthony Michael Hall,Tony Kayden
David Beaird,My Chauffeur,Deborah Foreman,David Beaird
Gene Saks,Brighton Beach Memoirs,Blythe Danner,Neil Simon
…ric Rohmer,Summer,Marie RiviËre,Marie RiviËre
Paul Nicholas,The Naked Cage,Shari Shattuck,Paul Nicholas
Richard Franklin,Link,Terence Stamp,Lee David Zlotoff
Bob Swaim,Half Moon Street,Sigourney Weaver,Edward Behr
Tom Moore,"'night, Mother",Sissy Spacek,Marsha Norman
Blake Edwards,A Fine Mess,Ted Danson,Blake Edwards
Mark Griffiths,Hardbodies 2,James Karen,Mark Griffiths
Fons Rademakers,The Assault,Derek de Lint,Gerard Soeteman
Paul Schneider,Willy/Milly,Pamela Adlon,Alan Friedman
Janet Greek,The Ladies Club,Karen Austin,Casey Bishop
Stuart Rosenberg,Let's Get Harry,Michael Schoeffling,Mark Feldberg
Daryl Duke,Tai-Pan,Bryan Brown,John Briley
Jeffrey Delman,Deadtime Stories,Scott Valentine,Jeffrey Delman
Dick Richards,Heat,Burt Reynolds,William Goldman
Robert Mandel,Touch and Go,Michael Keaton,Alan Ormsby
Charles Jarrott,The Boy in Blue,Nicolas Cage,Douglas Bowie
Alan Alda,Sweet Liberty,Alan Alda,Alan Alda
William Fruet,Killer Party,Martin Hewitt,Barney Cohen
Bill Sherwood,Parting Glances,John Bolger,Bill Sherwood
Dale Schott,Care Bears Movie II: A New Generation,Maxine Miller,Peter Sauder
Richard Pryor,"Jo Jo Dancer, Your Life Is Calling",Richard Pryor,Rocco Urbisci
Andrew Lane,Jake Speed,Wayne Crawford,Wayne Crawford
Renny Harlin,Born American,Mike Norris,Renny Harlin
Michelle Manning,Blue City,Judd Nelson,Ross Macdonald
Nadia Tass,Malcolm,Colin Friels,David Parker
Bob Weinstein,Playing for Keeps,Daniel Jordano,Bob Weinstein
Andrey Konchalovskiy,Duet for One,Julie Andrews,Tom Kempinski
Evelyn Purcell,Nobody's Fool,Rosanna Arquette,Beth Henley
John Byrum,The Whoopee Boys,Michael O'Keefe,Steve Zacharias
Blake Edwards,That's Life!,Jack Lemmon,Milton Wexler
Hal Needham,Body Slam,Dirk Benedict,Shel Lytton
David Drury,Defense of the Realm,Gabriel Byrne,Martin Stellman
Eliseo Subiela,Man Facing Southeast,Lorenzo Quinteros,Eliseo Subiela
Denys Arcand,The Decline of the American Empire,Dominique Michel,Denys Arcand
Jack Fisk,Violets Are Blue...,Sissy Spacek,Naomi Foner
Simon Langton,The Whistle Blower,Michael Caine,Julian Bond
Jerrold Freedman,Native Son,Victor Love,Richard Wesley
Eugene Corr,Desert Bloom,Jon Voight,Linda Remy
Lizzie Borden,Working Girls,Louise Smith,Lizzie Borden
Bertrand Blier,MÈnage,GÈrard Depardieu,Bertrand Blier
Henning Carlsen,Oviri,Donald Sutherland,Henning Carlsen
Raju Patel,In the Shadow of Kilimanjaro,John Rhys-Davies,T. Michael Harry
Tim Burstall,Kangaroo,Colin Friels,Evan Jones
Albert Pyun,Dangerously Close,John Stockwell,Scott Fields
Carroll Ballard,Nutcracker,Hugh Bigney,Kent Stowell
Federico Fellini,Ginger and Fred,Marcello Mastroianni,Federico Fellini
Alan J. Pakula,Dream Lover,Kristy McNichol,Jon Boorstin
