director,title,star,writer
Luis Mandoki,White Palace,Susan Sarandon,Glenn Savan
Michael Caton-Jones,Memphis Belle,Matthew Modine,Monte Merrick
Craig R. Baxley,Dark Angel,Dolph Lundgren,Jonathan Tydor
George Armitage,Miami Blues,Fred Ward,Charles Willeford
John Badham,Bird on a Wire,Mel Gibson,Louis Venosta
Paul Schrader,The Comfort of Strangers,Christopher Walken,Ian McEwan
Michael Cimino,Desperate Hours,Mickey Rourke,Joseph Hayes
Walter Hill,Another 48 Hrs.,Eddie Murphy,Roger Spottiswoode
Emilio Estevez,Men at Work,Charlie Sheen,Emilio Estevez
Emile Ardolino,3 Men and a Little Lady,Tom Selleck,Coline Serreau
Mike Nichols,Postcards from the Edge,Meryl Streep,Carrie Fisher
Howard Franklin,Quick Change,Bill Murray,Jay Cronley
Herbert Ross,My Blue Heaven,Steve Martin,Nora Ephron
Andrew Bergman,The Freshman,Marlon Brando,Andrew Bergman
Stephen Frears,The Grifters,Anjelica Huston,Jim Thompson
Jack Nicholson,The Two Jakes,Jack Nicholson,Robert Towne
Deran Sarafian,Death Warrant,Jean-Claude Van Damme,David S. Goyer
Jean-Paul Rappeneau,Cyrano de Bergerac,GÈrard Depardieu,Edmond Rostand
Barbet Schroeder,Reversal of Fortune,Jeremy Irons,Alan M. Dershowitz
Lawrence Kasdan,I Love You to Death,Kevin Kline,John Kostmayer
Frank Henenlotter,Frankenhooker,James Lorinz,Robert Martin
Mark Griffiths,A Cry in the Wild,Jared Rushton,Gary Paulsen
Jim Sheridan,The Field,Richard Harris,Jim Sheridan
James Orr,Mr. Destiny,Jim Belushi,James Orr
Fred Schepisi,The Russia House,Sean Connery,John le CarrÈ
James D. Parriott,Heart Condition,Bob Hoskins,James D. Parriott
Peter Weir,Green Card,GÈrard Depardieu,Peter Weir
Spike Lee,Mo' Better Blues,Denzel Washington,Spike Lee
Kar-Wai Wong,Days of Being Wild,Leslie Cheung,Jeffrey Lau
Martin Ritt,Stanley & Iris,Jane Fonda,Pat Barker
David Green,Fire Birds,Nicolas Cage,Step Tyner
Curtis Hanson,Bad Influence,Rob Lowe,David Koepp
Arthur Hiller,Taking Care of Business,Jim Belushi,Jill Mazursky
Mike Leigh,Life Is Sweet,Alison Steadman,Mike Leigh
Anthony Minghella,Truly Madly Deeply,Juliet Stevenson,Anthony Minghella
Bernardo Bertolucci,The Sheltering Sky,Debra Winger,Paul Bowles
Abbas Kiarostami,Close-Up,Mohsen Makhmalbaf,Abbas Kiarostami
Sydney Pollack,Havana,Robert Redford,Judith Rascoe
Jim Abrahams,"Welcome Home, Roxy Carmichael",Winona Ryder,Karen Leigh Hopkins
Patrice Leconte,The Hairdresser's Husband,Jean Rochefort,Claude Klotz
Bob Logan,Repossessed,Leslie Nielsen,Bob Logan
Franco Amurri,Flashback,Dennis Hopper,David Loughery
Roger Donaldson,Cadillac Man,Robin Williams,Ken Friedman
Cedric Sundstrom,American Ninja 4: The Annihilation,Michael Dudikoff,Gideon Amir
Dario Argento,Two Evil Eyes,Adrienne Barbeau,Dario Argento
Woody Allen,Alice,Mia Farrow,Woody Allen
William Friedkin,The Guardian,Jenny Seagrove,Dan Greenburg
Peter Hyams,Narrow Margin,Gene Hackman,Peter Hyams
Clint Eastwood,White Hunter Black Heart,Clint Eastwood,Peter Viertel
Aaron Norris,Delta Force 2: The Colombian Connection,Chuck Norris,James Bruner
Whit Stillman,Metropolitan,Carolyn Farina,Whit Stillman
Hal Hartley,Trust,Adrienne Shelly,Hal Hartley
Malcolm Mowbray,The Boyfriend School,Steve Guttenberg,Sarah Bird
John Howley,Happily Ever After,Edward Asner,Martha Moran
Adam Simon,Brain Dead,Bill Pullman,Charles Beaumont
Sidney Lumet,Q & A,Nick Nolte,Edwin Torres
Barry Levinson,Avalon,Aidan Quinn,Barry Levinson
Martin Sheen,Cadence,Charlie Sheen,Dennis Shryack
Bob Rafelson,Mountains of the Moon,Patrick Bergin,William Harrison
Sidney Poitier,Ghost Dad,Bill Cosby,Brent Maddock
Jane Campion,An Angel at My Table,Kerry Fox,Janet Frame
Tony Bill,Crazy People,Dudley Moore,Mitch Markowitz
Joel Silberg,Lambada,J. Eddie Peck,Joel Silberg
John R. Cherry III,Ernest Goes to Jail,Jim Varney,Charlie Cohen
Robert Resnikoff,The First Power,Lou Diamond Phillips,Robert Resnikoff
Robert Altman,Vincent & Theo,Tim Roth,Julian Mitchell
Patrick Read Johnson,Spaced Invaders,Douglas Barr,Patrick Read Johnson
Peter Bogdanovich,Texasville,Jeff Bridges,Larry McMurtry
James Foley,"After Dark, My Sweet",Jason Patric,Jim Thompson
Rich Correll,Ski Patrol,Roger Rose,Steven Long Mitchell
Sally Mattison,Slumber Party Massacre III,Keely Christian,Catherine Cyran
Prince,Graffiti Bridge,Prince,Prince
Peter Israelson,Side Out,C. Thomas Howell,David Thoreau
Joseph Barbera,Jetsons: The Movie,George O'Hanlon,Dennis Marks
Paul Brickman,Men Don't Leave,Jessica Lange,Barbara Benedek
Agnieszka Holland,Europa Europa,Solomon Perel,Paul Hengge
Jonathan Lynn,Nuns on the Run,Eric Idle,Jonathan Lynn
Bob Clark,Loose Cannons,Gene Hackman,Richard Christian Matheson
John Erman,Stella,Bette Midler,Olive Higgins Prouty
Greydon Clark,The Forbidden Dance,Laura Harring,Menahem Golan
James Ivory,Mr. & Mrs. Bridge,Paul Newman,Evan S. Connell
Tom Ropelewski,Madhouse,Richard Alexander,Tom Ropelewski
Richard Pearce,The Long Walk Home,Sissy Spacek,John Cork
Ken Loach,Hidden Agenda,Frances McDormand,Jim Allen
Robert Shaye,Book of Love,Chris Young,William Kotzwinkle
Alan Alda,Betsy's Wedding,Alan Alda,Alan Alda
Joe Roth,Coupe de Ville,Patrick Dempsey,Mike Binder
Jan Egleson,A Shock to the System,Michael Caine,Simon Brett
Leonard Nimoy,Funny About Love,Gene Wilder,Bob Greene
Carl Reiner,Sibling Rivalry,Kirstie Alley,Martha Goldhirsh
Tibor Takcs,Gate 2: The Trespassers,Louis Tripp,Michael Nankin
Roger Corman,Roger Corman's Frankenstein Unbound,John Hurt,Brian Aldiss
Giuseppe Tornatore,Everybody's Fine,Marcello Mastroianni,Massimo De Rita
Alan Parker,Come See the Paradise,Dennis Quaid,Alan Parker
Michael Lehmann,Meet the Applegates,Ed Begley Jr.,Michael Lehmann
Michael Gottlieb,The Shrimp on the Barbie,Cheech Marin,Grant Morris
Takeshi Kitano,Boiling Point,Takeshi Kitano,Takeshi Kitano
Paul Schibli,El prÌncipe Cascanueces,Kiefer Sutherland,E.T.A. Hoffmann
Kristine Peterson,Body Chemistry,Marc Singer,Jackson Barr
Michael Rissi,Soultaker,Joe Estevez,Vivian Schilling
Bernt Amadeus Capra,Mindwalk,Liv Ullmann,Bernt Amadeus Capra
John Boorman,Where the Heart Is,Dabney Coleman,Telsche Boorman
David Leland,Crossing the Line,Kenny Ireland,Don MacPherson
Donald Petrie,Opportunity Knocks,Dana Carvey,Mitchel Katlin
James Bond III,Def by Temptation,James Bond III,James Bond III
Katt Shea,Streets,Christina Applegate,Andy Ruben
Jon Amiel,Tune in Tomorrow...,Barbara Hershey,Mario Vargas Llosa
Yimou Zhang,Ju Dou,Li Gong,Heng Liu
Michael Verhoeven,The Nasty Girl,Lena Stolze,Michael Verhoeven
Christopher Leitch,Courage Mountain,Juliette Caton,Fred Brogger
Richard Benjamin,Downtown,Anthony Edwards,Nat Mauldin
John Frankenheimer,The Fourth War,Roy Scheider,Stephen Peters
Charles Burnett,To Sleep with Anger,Danny Glover,Charles Burnett
Jim Wynorski,The Haunting of Morella,Nicole Eggert,Edgar Allan Poe
Sondra Locke,Impulse,Theresa Russell,John DeMarco
Gregg Champion,Short Time,Dabney Coleman,John Blumenthal
Yves Robert,My Mother's Castle,Julien Ciamaca,Marcel Pagnol
Marisa Silver,Vital Signs,Adrian Pasdar,Larry Ketron
Karel Reisz,Everybody Wins,Debra Winger,Arthur Miller
Carlos Saura,"°Ay, Carmela!",Carmen Maura,Rafael Azcona
Bruce Beresford,Mister Johnson,Pierce Brosnan,William Boyd
Alan Rudolph,Love at Large,Tom Berenger,Alan Rudolph
James F. Collier,China Cry: A True Story,Julia Nickson,Nora Lam
Steven Hilliard Stern,Love & Murder,Todd Waring,Steven Hilliard Stern
Bruno Barreto,A Show of Force,Amy Irving,Anne Nelson
…ric Rohmer,A Tale of Springtime,Anne Teyssedre,…ric Rohmer
Diane Kurys,C'est la vie,Nathalie Baye,Diane Kurys
Louis Malle,May Fools,Miou-Miou,Louis Malle
Michael Tuchner,The Misadventures of Mr. Wilt,Griff Rhys Jones,Tom Sharpe
Yves Robert,My Father's Glory,Philippe CaubËre,Louis NucÈra
…tienne Chatiliez,Auntie Danielle,Tsilla Chelton,Florence Quentin
Jack Fisk,Daddy's Dyin'... Who's Got the Will?,Beau Bridges,Del Shores
Xavier Koller,Journey of Hope,Necmettin «obanoglu,Xavier Koller
Augusto Tamayo San Rom·n,Ultra Warrior,Dack Rambo,Len Jenkin
Eric Karson,Angel Town,Olivier Gruner,S. Warren
Christopher Monger,Waiting for the Light,Shirley MacLaine,Christopher Monger
John Mackenzie,The Last of the Finest,Brian Dennehy,Jere Cunningham
Guy Maddin,Archangel,Michael Gottli,John B. Harvie
William Reilly,Men of Respect,John Turturro,William Reilly
James Scott,Strike It Rich,Robert Lindsay,Graham Greene
Haruki Kadokawa,Heaven and Earth,Takaaki Enoki,Haruki Kadokawa
MarÌa Luisa Bemberg,"I, the Worst of All",Assumpta Serna,MarÌa Luisa Bemberg
Dyan Cannon,The End of Innocence,Dyan Cannon,Dyan Cannon
Pavel Lungin,Taxi Blues,Pyotr Mamonov,Pavel Lungin
Sig Shore,The Return of Superfly,Nathan Purdee,Anthony Wisdom
Bernard Rose,Chicago Joe and the Showgirl,Emily Lloyd,David Yallop
Jonathan Demme,The Silence of the Lambs,Jodie Foster,Thomas Harris
James Cameron,Terminator 2: Judgment Day,Arnold Schwarzenegger,James Cameron
Gary Trousdale,Beauty and the Beast,Paige O'Hara,Linda Woolverton
John Singleton,Boyz n the Hood,Cuba Gooding Jr.,John Singleton
Barry Sonnenfeld,The Addams Family,Anjelica Huston,Charles Addams
Jon Avnet,Fried Green Tomatoes,Kathy Bates,Fannie Flagg
Steven Spielberg,Hook,Dustin Hoffman,J.M. Barrie
Kathryn Bigelow,Punto de quiebra,Patrick Swayze,Rick King
Ridley Scott,Thelma & Louise,Susan Sarandon,Callie Khouri
Martin Scorsese,Cape Fear,Robert De Niro,John D. MacDonald
Howard Zieff,My Girl,Anna Chlumsky,Laurice Elehwany
Kevin Reynolds,Robin Hood: Prince of Thieves,Kevin Costner,Pen Densham
Alan Parker,The Commitments,Robert Arkins,Roddy Doyle
Jack Bender,Child's Play 3,Justin Whalin,Don Mancini
William A. Graham,Return to the Blue Lagoon,Brian Krause,Henry De Vere Stacpoole
Nicholas Meyer,Star Trek VI: The Undiscovered Country,William Shatner,Gene Roddenberry
Oliver Stone,JFK,Kevin Costner,Oliver Stone
Joel Coen,Barton Fink,John Turturro,Joel Coen
Joe Johnston,The Rocketeer,Billy Campbell,Dave Stevens
David Cronenberg,Naked Lunch,Peter Weller,William S. Burroughs
Charles Shyer,Father of the Bride,Steve Martin,Frances Goodrich
Jim Abrahams,Hot Shots!,Charlie Sheen,Jim Abrahams
Dan Aykroyd,Nothing But Trouble,Chevy Chase,Peter Aykroyd
Marc Caro,Delicatessen,Marie-Laure Dougnac,Jean-Pierre Jeunet
Brian Levant,Problem Child 2,John Ritter,Scott Alexander
Frank Oz,What About Bob?,Bill Murray,Alvin Sargent
Gus Van Sant,My Own Private Idaho,River Phoenix,Gus Van Sant
Ron Underwood,City Slickers,Billy Crystal,Lowell Ganz
Oliver Stone,The Doors,Val Kilmer,Randall Jahnson
Terry Gilliam,The Fisher King,Jeff Bridges,Richard LaGravenese
Tony Scott,The Last Boy Scout,Bruce Willis,Shane Black
Ron Howard,Backdraft,Kurt Russell,Gregory Widen
Joseph Ruben,Sleeping with the Enemy,Julia Roberts,Nancy Price
Stephen Herek,Don't Tell Mom the Babysitter's Dead,Christina Applegate,Neil Landau
Wes Craven,The People Under the Stairs,Brandon Quintin Adams,Wes Craven
Robert Mulligan,The Man in the Moon,Sam Waterston,Jenny Wingfield
Daniel Petrie Jr.,Toy Soldiers,Sean Astin,William P. Kennedy
Mario Van Peebles,New Jack City,Wesley Snipes,Thomas Lee Wright
Michael Pressman,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Paige Turco,Kevin Eastman
Rachel Talalay,Freddy's Dead: The Final Nightmare,Robert Englund,Wes Craven
Michael Lehmann,Hudson Hawk,Bruce Willis,Bruce Willis
Bryan Gordon,Career Opportunities,Frank Whaley,John Hughes
Peter Hewitt,Bill & Ted's Bogus Journey,Keanu Reeves,Chris Matheson
Ate de Jong,Drop Dead Fred,Phoebe Cates,Elizabeth Livingston
Sheldon Lettich,Double Impact,Jean-Claude Van Damme,Sheldon Lettich
Jim Jarmusch,Night on Earth,Winona Ryder,Jim Jarmusch
Stan Dragoti,Necessary Roughness,Scott Bakula,Rick Natkin
Garry Marshall,Frankie and Johnny,Al Pacino,Terrence McNally
John Landis,Oscar,Sylvester Stallone,Claude Magnier
John R. Cherry III,Ernest Scared Stupid,Jim Varney,John R. Cherry III
Phil Nibbelink,An American Tail: Fievel Goes West,James Stewart,Flint Dille
Barry Levinson,Bugsy,Warren Beatty,James Toback
Barbra Streisand,The Prince of Tides,Barbra Streisand,Pat Conroy
David Zucker,The Naked Gun 2Ω: The Smell of Fear,Leslie Nielsen,Jim Abrahams
John Flynn,Out for Justice,Steven Seagal,R. Lance Hill
Robert Townsend,The Five Heartbeats,Robert Townsend,Robert Townsend
Spike Lee,Jungle Fever,Wesley Snipes,Spike Lee
David Kellogg,Cool as Ice,Vanilla Ice,David Stenn
Damian Harris,Deceived,Goldie Hawn,Mary Agnes Donoghue
Mike Nichols,Regarding Henry,Harrison Ford,J.J. Abrams
Mark L. Lester,Showdown in Little Tokyo,Dolph Lundgren,Stephen Glantz
Krzysztof Kieslowski,The Double Life of Veronique,IrËne Jacob,Krzysztof Kieslowski
Lili Fini Zanuck,Rush,Jason Patric,Kim Wozencraft
Kenneth Branagh,Dead Again,Kenneth Branagh,Scott Frank
Richard Linklater,Slacker,Richard Linklater,Richard Linklater
Russell Mulcahy,Highlander II: The Quickening,Christopher Lambert,Gregory Widen
Albert Brooks,Defending Your Life,Albert Brooks,Albert Brooks
Michael Caton-Jones,Doc Hollywood,Michael J. Fox,Neil B. Shulman
John Hughes,Curly Sue,Jim Belushi,John Hughes
Don Bluth,Amigos inseparables,Glen Campbell,Don Bluth
Simon Wincer,Harley Davidson and the Marlboro Man,Mickey Rourke,Don Michael Paul
Randal Kleiser,White Fang,Ethan Hawke,Jack London
Joel Schumacher,Dying Young,Julia Roberts,Marti Leimbach
William Dear,If Looks Could Kill,Richard Grieco,Fred Dekker
Michael Karbelnikoff,Mobsters,Christian Slater,Michael Mahern
Simon Moore,Under Suspicion,Liam Neeson,Simon Moore
Russell Mulcahy,Ricochet,Denzel Washington,Fred Dekker
Brian Gilbert,Not Without My Daughter,Sally Field,Betty Mahmoody
Craig R. Baxley,Stone Cold,Brian Bosworth,Walter Doniger
Mick Jackson,L.A. Story,Steve Martin,Steve Martin
Steve Miner,Wild Hearts Can't Be Broken,Gabrielle Anwar,Matt Williams
Ken Russell,Whore,Theresa Russell,David Hines
Blake Edwards,Switch,Ellen Barkin,Blake Edwards
John Duigan,Flirting,Noah Taylor,John Duigan
Isao Takahata,Only Yesterday,Miki Imai,Hotaru Okamoto
Burt Kennedy,Suburban Commando,Hulk Hogan,Frank A. Cappello
Maurice Phillips,Another You,Richard Pryor,Ziggy Steinberg
Jodie Foster,Little Man Tate,Jodie Foster,Scott Frank
Stephen Poliakoff,Close My Eyes,Alan Rickman,Stephen Poliakoff
David S. Ward,King Ralph,John Goodman,Emlyn Williams
Wim Wenders,Until the End of the World,William Hurt,Peter Carey
Bobcat Goldthwait,Shakes the Clown,Bobcat Goldthwait,Bobcat Goldthwait
Mark Herrier,Popcorn,Jill Schoelen,Mitchell Smith
Alan Rudolph,Mortal Thoughts,Demi Moore,William Reilly
John Badham,The Hard Way,Michael J. Fox,Lem Dobbs
Jacques Rivette,La bella latosa,Michel Piccoli,Pascal Bonitzer
Mira Nair,Mississippi Masala,Denzel Washington,Sooni Taraporevala
Nancy Savoca,Dogfight,River Phoenix,Bob Comfort
Yimou Zhang,Raise the Red Lantern,Li Gong,Su Tong
Eric Red,Body Parts,Jeff Fahey,Pierre Boileau
Wolfgang Petersen,Shattered,Tom Berenger,Richard Neely
Lars von Trier,Europa,Barbara Sukowa,Lars von Trier
Mel Brooks,Life Stinks,Mel Brooks,Mel Brooks
Tom Mankiewicz,Delirious,John Candy,Lawrence J. Cohen
Sean Penn,The Indian Runner,David Morse,Sean Penn
Steven Soderbergh,Kafka,Jeremy Irons,Lem Dobbs
Michael Hoffman,Soapdish,Sally Field,Robert Harling
Randa Haines,The Doctor,William Hurt,Ed Rosenbaum
Bruce Beresford,Black Robe,Lothaire Bluteau,Brian Moore
Peter Faiman,Dutch,Ed O'Neill,John Hughes
Robert Benton,Billy Bathgate,Dustin Hoffman,E.L. Doctorow
Pedro AlmodÛvar,High Heels,Victoria Abril,Pedro AlmodÛvar
Ken Kwapis,"He Said, She Said",Kevin Bacon,Brian Hohlfeld
Marc Rocco,Where the Day Takes You,Dermot Mulroney,Michael Hitchcock
Bill Duke,A Rage in Harlem,Forest Whitaker,Chester Himes
Chris Columbus,Only the Lonely,John Candy,Chris Columbus
Martha Coolidge,Rambling Rose,Laura Dern,Calder Willingham
Lawrence Kasdan,Grand Canyon,Danny Glover,Lawrence Kasdan
Robert Lieberman,All I Want for Christmas,Harley Jane Kozak,Thom Eberhardt
Jackie Chan,Armour of God 2: Operation Condor,Jackie Chan,Jackie Chan
Stewart Raffill,Mannequin: On the Move,Kristy Swanson,Edward Rugoff
Mark DiSalle,The Perfect Weapon,Jeff Speakman,David C. Wilson
Nicholas Meyer,Company Business,Gene Hackman,Nicholas Meyer
Michael Tolkin,The Rapture,Mimi Rogers,Michael Tolkin
John Milius,Flight of the Intruder,Danny Glover,Stephen Coonts
Mark Rydell,For the Boys,Bette Midler,Neal Jimenez
Albert Pyun,Kickboxer 2: The Road Back,Sasha Mitchell,Mark DiSalle
Woody Allen,Shadows and Fog,Woody Allen,Woody Allen
Stuart Gordon,The Pit and the Pendulum,Lance Henriksen,Edgar Allan Poe
George Jackson,House Party 2,Christopher Reid,Reginald Hudlin
Peter Greenaway,Prospero's Books,John Gielgud,William Shakespeare
Irwin Winkler,Guilty by Suspicion,Robert De Niro,Irwin Winkler
Hector Babenco,At Play in the Fields of the Lord,Tom Berenger,Peter Matthiessen
Herbert Ross,True Colors,John Cusack,Kevin Wade
Jerry Rees,The Marrying Man,Kim Basinger,Neil Simon
Nadia Tass,Pure Luck,Martin Short,Francis Veber
Rod Daniel,The Super,Joe Pesci,Sam Simon
Terry Hughes,The Butcher's Wife,Demi Moore,Ezra Litwak
Richard Franklin,F/X2,Bryan Brown,Robert T. Megginson
Leos Carax,The Lovers on the Bridge,Juliette Binoche,Leos Carax
Franc Roddam,K2,Michael Biehn,Patrick Meyers
Todd Haynes,Poison,Edith Meeks,Jean Genet
Michael Apted,Class Action,Gene Hackman,Carolyn Shelby
Mike Newell,Enchanted April,Alfred Molina,Elizabeth von Arnim
Geoff Burrowes,Run,Patrick Dempsey,Dennis Shryack
Jeffrey Hornaday,Shout,John Travolta,Joe Gayton
James Dearden,A Kiss Before Dying,Matt Dillon,Ira Levin
Norman Jewison,Other People's Money,Danny DeVito,Jerry Sterner
Frank De Felitta,Scissors,Sharon Stone,Joyce Selznick
Julie Dash,Daughters of the Dust,Cora Lee Day,Julie Dash
Heywood Gould,One Good Cop,Michael Keaton,Heywood Gould
Michael Mak,Sex and Zen,Amy Yip,Alexander Lee
James Lapine,Impromptu,Judy Davis,Sarah Kernochan
Aaron Norris,The Hitman,Chuck Norris,Robert Geoffrion
JÛzsef GÈmes,The Princess and the Goblin,Claire Bloom,Robin Lyons
Akira Kurosawa,Rapsodia en agosto,Sachiko Murase,Kiyoko Murata
Zalman King,Wild Orchid II: Two Shades of Blue,Nina Siemaszko,Zalman King
Lasse Hallstrˆm,Once Around,Richard Dreyfuss,Malia Scotch Marmo
Ken Loach,Riff-Raff,Robert Carlyle,Bill Jesse
Claude Chabrol,Madame Bovary,Isabelle Huppert,Gustave Flaubert
Jocelyn Moorhouse,Proof,Hugo Weaving,Jocelyn Moorhouse
David Mamet,Homicide,Joe Mantegna,David Mamet
Kevin Hooks,Strictly Business,Tommy Davidson,Pam Gibson
Gabriele Salvatores,Mediterraneo,Diego Abatantuono,Enzo Monteleone
Roberto Benigni,Johnny Stecchino,Roberto Benigni,Roberto Benigni
Derek Jarman,Edward II,Steven Waddington,Christopher Marlowe
Sylvio Tabet,Beastmaster 2: Through the Portal of Time,Marc Singer,Andre Norton
Jeff Kanew,V.I. Warshawski,Kathleen Turner,Sara Paretsky
John Frankenheimer,Year of the Gun,Andrew McCarthy,Michael Mewshaw
Volker Schlˆndorff,Voyager,Sam Shepard,Max Frisch
Alfonso CuarÛn,SÛlo con tu pareja,Daniel GimÈnez Cacho,Alfonso CuarÛn
Atom Egoyan,The Adjuster,Elias Koteas,Atom Egoyan
Jonathan Wacks,Mystery Date,Ethan Hawke,Parker Bennett
Lewis Gilbert,Stepping Out,Liza Minnelli,Richard Harris
James Glickenhaus,McBain,Christopher Walken,James Glickenhaus
Radha Bharadwaj,Closet Land,Madeleine Stowe,Radha Bharadwaj
Matthew Robbins,Bingo,Cindy Williams,Jim Strain
Charles Sturridge,Where Angels Fear to Tread,Helena Bonham Carter,E.M. Forster
Maurice Pialat,Van Gogh,Jacques Dutronc,Maurice Pialat
George Gallo,29th Street,Anthony LaPaglia,Frank Pesce
Danny Huston,Becoming Colette,Klaus Maria Brandauer,Ruth Graham
Sidney J. Furie,The Taking of Beverly Hills,Ken Wahl,Sidney J. Furie
Jaco Van Dormael,Toto the Hero,Michel Bouquet,Didier De Neck
Joseph B. Vasquez,Hangin' with the Homeboys,Doug E. Doug,Joseph B. Vasquez
Mary Agnes Donoghue,Paradise,Melanie Griffith,Mary Agnes Donoghue
Nicol·s EchevarrÌa,Cabeza de Vaca,Juan Diego,Nicol·s EchevarrÌa
Andrey Konchalovskiy,The Inner Circle,Tom Hulce,Andrey Konchalovskiy
Mike Figgis,Liebestraum,Kevin Anderson,Mike Figgis
Michael Lindsay-Hogg,The Object of Beauty,John Malkovich,Michael Lindsay-Hogg
Michael Bortman,Crooked Hearts,Peter Berg,Robert Boswell
W.D. Richter,Late for Dinner,Peter Berg,Mark Andrus
Matty Rich,Straight Out of Brooklyn,George T. Odom,Matty Rich
GÈrard Lauzier,Mon Pere Ce Heros,GÈrard Depardieu,GÈrard Lauzier
Topper Carew,Talkin' Dirty After Dark,Martin Lawrence,Topper Carew
Vicente Aranda,Lovers: A True Story,Victoria Abril,¡lvaro del Amo
Rodman Flender,The Unborn,Brooke Adams,John Brancato
Michael Schultz,Livin' Large!,Terrence 'T.C.' Carson,William Mosley-Payne
Alain Corneau,Tous les matins du monde,GÈrard Depardieu,Pascal Quignard
Nancy Kelly,Thousand Pieces of Gold,Rosalind Chao,Ruthanne Lum McCunn
Tony Cookson,And You Thought Your Parents Were Weird,Joshua John Miller,Tony Cookson
Steve Rash,Queens Logic,Kevin Bacon,Tony Spiridakis
Paul Mazursky,Scenes from a Mall,Bette Midler,Roger L. Simon
Stuart Rosenberg,My Heroes Have Always Been Cowboys,Scott Glenn,Joel Don Humphreys
Robert M. Young,Talent for the Game,Edward James Olmos,David Himmelstein
John Sayles,City of Hope,Vincent Spano,John Sayles
Don Boyd,Twenty-One,Patsy Kensit,Zoe Heller
Peter Chelsom,Hear My Song,Ned Beatty,Peter Chelsom
Duncan Gibbins,Eve of Destruction,Gregory Hines,Duncan Gibbins
Avi Nesher,Timebomb,Michael Biehn,Avi Nesher
Arthur Hiller,Married to It,Beau Bridges,Janet Kovalcik
Martin Campbell,Defenseless,Barbara Hershey,James Cresson
Hanif Kureishi,London Kills Me,Justin Chadwick,Hanif Kureishi
Charles Lane,True Identity,Lenny Henry,Andy Breckman
Simon Callow,The Ballad of the Sad Cafe,Vanessa Redgrave,Edward Albee
Bruce McDonald,Highway 61,Don McKellar,Allan Magee
Walter Salles,The Knife,Peter Coyote,Rubem Fonseca
Peter Richardson,The Pope Must Diet,Robbie Coltrane,Peter Richardson
Istv·n SzabÛ,Meeting Venus,Glenn Close,Istv·n SzabÛ
Martin Davidson,Hard Promises,Sissy Spacek,Jule Selbo
Stephen La Rocque,Samantha,Martha Plimpton,John Golden
Quentin Tarantino,Reservoir Dogs,Harvey Keitel,Quentin Tarantino
Francis Ford Coppola,Bram Stoker's Dracula,Gary Oldman,Bram Stoker
Ron Clements,Aladdin,Scott Weinger,Ron Clements
Tim Burton,Batman Returns,Michael Keaton,Bob Kane
Paul Verhoeven,Bajos instintos,Michael Douglas,Joe Eszterhas
Michael Mann,The Last of the Mohicans,Daniel Day-Lewis,James Fenimore Cooper
Clint Eastwood,Unforgiven,Clint Eastwood,David Webb Peoples
Jonathan Lynn,My Cousin Vinny,Joe Pesci,Dale Launer
Rob Reiner,A Few Good Men,Tom Cruise,Aaron Sorkin
David Lynch,Twin Peaks: Fire Walk with Me,Sheryl Lee,David Lynch
David Fincher,Alien 3,Sigourney Weaver,Dan O'Bannon
Emile Ardolino,Sister Act,Whoopi Goldberg,Paul Rudnick
Penny Marshall,A League of Their Own,Tom Hanks,Kim Wilson
Robert Zemeckis,Death Becomes Her,Meryl Streep,Martin Donovan
Martin Brest,Scent of a Woman,Al Pacino,Giovanni Arpino
Kenny Ortega,Newsies,Christian Bale,Bob Tzudiker
Mick Jackson,The Bodyguard,Kevin Costner,Lawrence Kasdan
Penelope Spheeris,Wayne's World,Mike Myers,Mike Myers
Stephen Herek,The Mighty Ducks,Emilio Estevez,Steven Brill
Sam Raimi,Army of Darkness,Bruce Campbell,Sam Raimi
Chris Columbus,Home Alone 2: Lost in New York,Macaulay Culkin,John Hughes
Andrew Davis,Under Siege,Steven Seagal,J.F. Lawton
James Foley,Glengarry Glen Ross,Al Pacino,David Mamet
Peter Jackson,Dead Alive,Timothy Balme,Stephen Sinclair
Bernard Rose,Candyman,Virginia Madsen,Clive Barker
Phillip Noyce,Patriot Games,Harrison Ford,Tom Clancy
Robert Mandel,School Ties,Brendan Fraser,Dick Wolf
Gary Sinise,Of Mice and Men,John Malkovich,John Steinbeck
Thom Eberhardt,Captain Ron,Kurt Russell,John Dwyer
Robert Redford,A River Runs Through It,Craig Sheffer,Norman Maclean
Richard Attenborough,Chaplin,Robert Downey Jr.,David Robinson
Spike Lee,Malcolm X,Denzel Washington,Alex Haley
Mick Garris,Sleepwalkers,Brian Krause,Stephen King
Bill Kroyer,FernGully: Las aventuras de Zak y Crysta,Samantha Mathis,Jim Cox
Brian Levant,Beethoven,Charles Grodin,John Hughes
Anthony Hickox,Hellraiser III: Hell on Earth,Terry Farrell,Clive Barker
Neil Jordan,The Crying Game,Stephen Rea,Neil Jordan
Fran Rubel Kuzui,Buffy the Vampire Slayer,Kristy Swanson,Joss Whedon
Mary Lambert,Pet Sematary II,Edward Furlong,Richard Outten
Cameron Crowe,Singles,Bridget Fonda,Cameron Crowe
Roland Emmerich,Universal Soldier,Jean-Claude Van Damme,Richard Rothstein
Ron Shelton,White Men Can't Jump,Wesley Snipes,Ron Shelton
Bigas Luna,"JamÛn, JamÛn",PenÈlope Cruz,Cuca Canals
